virt\core,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
93,0.820169,0.851515,0.822899,0.9997,0.833806,0,0.662959,0.622767,0.581181,0.5918,0.732259,0.180067,0.646237,0.472301,0.969827,0.88904,0.797001,0.9974
94,0.812126,0.908706,0.819285,0.9997,0.836561,0,0.646632,0.592211,0.8136,0.122619,0.715546,0.794,0.639181,0.376966,0.9894,0.864177,0.783976,0.9977
95,0.714241,0.9677,0.826157,1,0.9971,0.9833,0.465623,0.460515,0.608723,0.483866,0.714241,0.9677,0.651965,0.840522,0.9917,0.853272,0.788007,0.9985
