virt\core,7,8,12,14,16,18,21
92,1,1,0,0,0,0,0
93,0,0.7475,0.898837,0.0186,0.899685,0.7475,0.8423
94,0,0.065,0.896202,0,0.864717,0.065,0.0197
95,0,0.1497,0,0,0.0389,0.1497,0.1171
