virt\core,7,8,12,14,15,17,18,20
92,7.821e-06,7e-08,0,0,0,0,0,0
93,0.00414547,0.0329558,0.127406,0.00285396,0.00285396,0.00414547,0.0329558,0.0342163
94,0.0592728,0.0411778,0.110962,0.0669944,0.0669945,0.0592728,0.0411778,0.0334647
95,0.065905,0.0272668,0,0,0,0.065905,0.0272668,0.033139
