virt\core,7,8,12,14,16,17,18,19,20
92,1,1,0,0,0,0,0,0,0
93,2,1,2,1,1,2,1,1,1
94,1,2,2,1,1,1,2,1,1
95,1,1,0,0,0,1,1,0,1
