virt\core,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,10,0,10,5,5,0,0,0,0,0
238,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,1,1,1,1,1,1,2,8,2,4,2,4,5,3,2,3,2,2,2
239,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,6,1,4,1,1,1,7,5,7,5,4
240,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,1,4,6,2,9,2,7,4,4,2,3,2,2,2
241,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,2,1,2,1,1,1,1,4,1,4,1,1,1,10,6,7,5,5
242,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,3,2,6
243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,4,2,0,0,0,0,0
244,0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,3,7,5,5,4,5,6,5,6,8,4,4,5
245,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,0,0,0,0,4,4,9,5,10,6,3,4,13,9,7,11,8
246,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,1,3,2,0,1,0,0,4,5,8,9,9,9,5,6,14,12,8,8,7
247,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,9,0,10,0,2,4,13,8,7,8,6
248,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,2,0,1,1,1,4,4,6,7,6,7,5,5,12,12,7,7,6
249,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,2,2,0,1,1,2,3,3,7,6,9,7,5,5,14,9,8,9,6
250,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,2,2,0,0,0,1,4,4,2,8,4,7,4,5,8,7,4,5,4
251,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,6,0,6,0,0,0,4,3,2,3,6
252,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,2,2,0,0,1,1,0,0,1,0,1,0,0,0,4,2,2,4,4
253,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,1,1,3
254,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,0,6,6,3,0,0,0,0,0
255,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,6,0,8,0,0,0,6,4,2,2,6
256,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
257,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,1,0,0,0,0,0
258,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,2,2,1
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
