virt\core,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,0.87797,1,0.9999,0.9847,0.671151,0.825706,0.714312,0.823542,0.9981,0.997,0.754457,0.942105,0.951697,0.894684,0.727686,0.9967
