virt\core,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,0.000487781,1.9e-08,1.50235e-05,0.106585,0.00100877,0.000673719,0.0105104,0.00553509,2.64249e-08,9.8024e-09,0.000487776,2.73094e-08,0.0223153,8.5789e-08,8.2241e-08,1.59888e-08
