virt\core,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
237,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,6,6,5,1,6,1,1,1,1,2,2
238,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,9,9,7,6,0,7,0,2,1,1,2,2
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,13,7,13,9,10
240,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6,7,12,9,4,1,5,1,1,1,2,3,2
241,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,3,1,2,3,5,4,8,2
242,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,7,11,9,5,1,6,2,1,2,1,3,3
243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,1,5,4,7,8,4,6
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,1,6
245,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,4,10,10,11,9,3,7,5,4,5,7,7,4
246,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,4,7,9,9,6,5,7,5,6,7,8,7,5
247,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,2,0,0,0,0,4,6,8,9,5,7,6,8,9,10,9,9,7
248,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,2,0,0,0,3,6,6,7,6,10,5,7,11,7,11,11,8
249,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,0,0,1,3,7,4,7,8,7,7,6,8,8,10,11,11
250,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,1,5,7,8,11,9,3,8,6,7,6,4,10,6
251,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,7,7,10,11,6,7
252,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,0,0,1,4,4,5,6,6,3,5,2,6,5,7,8,7
253,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,2,0,0,0,2,0,1,0,0,4,0,5,8,8,6,10,8
254,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,5,7,6,7,6,8
255,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,7,0,3,5,4,3,3,5
256,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,4,1
257,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,3
261,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,0,1,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,1,2
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
