virt\core,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,0.942085,1,0.9999,0.9837,0.317241,0.450578,0.620367,0.460056,0.9915,0.885598,0.884037,0.9946,0.706937,0.915473,0.911871,0.9995
