virt\core,7,8,12,14,16,18,21
92,1.2311e-05,4.205e-06,0,0,0,0,0
93,0,0.0484332,0.122175,0.00120516,0.00202479,0.0484332,0.0389525
94,0,0.00421159,0.136664,0,0.0274492,0.00421159,0.000911035
95,0,0.00969961,0,0,0.00117446,0.00969961,0.00541534
