virt\core,7,8,12,13,14,15,16,18,20
92,1,1,0,0,0,0,0,0,0
93,0,0.658274,0.862564,0.0194,0.023,0.0698,0.846188,0.658274,0.338776
94,0,0.142535,0.856566,0.0126,0.0168,0.0416,0.741188,0.142535,0.421983
95,0,0.023,0,0,0,0,0.1053,0.023,0.0706
