virt\core,7,8,12,13,16,20,21
92,1,1,0,0,0,0,0
93,0,0,0.811208,0.0105,0.7828,0.9878,0.8131
94,0,0,0.805701,0,0.0149,0.9503,0.0821
95,0,0,0,0,0.1796,0.038,0.0939
