virt\core,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,0,0,1.50755e-05,0.106363,0.00137007,0.000858667,0.00829811,0.00310467,0,0,0,0.000162934,0.0265624,0,0,0
