virt\core,7,8,12,13,14,15,17,18,19,20
92,1,1,0,0,0,0,0,0,0,0
93,2,2,2,1,0,0,2,2,1,2
94,2,2,3,0,1,1,2,2,2,2
95,1,2,0,0,0,0,1,2,0,1
