virt\core,7,8,12,13,15,16,19,21
92,1,1,0,0,0,0,0,0
93,0,0,0.789289,0.0362,0.764129,0.116,0.549539,0.289113
94,0,0,0.782182,0.0241,0.685903,0.073,0.186015,0.39195
95,0,0,0,0,0.0977,0,0.0228,0.0637
