virt\core,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,2.68794e-05,4.2e-07,1.6527e-05,0.103209,0.000857492,0.000481969,0.00568273,0.0127545,5.62653e-06,4.08863e-06,5.3853e-05,0.0164006,3.247e-06,1.71012e-05,4.35443e-06,6.84e-07
