virt\core,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,0.998951,0.998752,0.880997,1,0.9999,0.9845,0.580064,0.709266,0.721951,0.815484,0.9979,0.9975,0.760985,0.943738,0.956349,0.894617,0.728544,0.9971
93,0.728639,0.767906,0.691102,0.9997,0.888753,0.872985,0.369724,0.361392,0.706993,0.780393,0.513237,0.535571,0.380179,0.417524,0.952639,0.901701,0.676314,0.9957
94,0.971177,0.867335,0.88468,0.9997,0.891591,0.867507,0.285057,0.319051,0.694299,0.640976,0.9977,0.733627,0.769637,0.378486,0.962796,0.898025,0.725238,0.9964
95,0.9986,0.974887,0.915607,1,0.9971,0.986,0.455578,0.491409,0.74476,0.562033,0.9981,0.949601,0.830659,0.790666,0.970809,0.899102,0.780068,0.9975
96,0.998402,0.98312,0.973959,1,0.9999,0.927871,0.386502,0.405019,0.825373,0.508315,0.9969,0.966188,0.947668,0.528336,0.9898,0.765509,0.72719,0.9982
97,0.998502,0.997755,0.869481,1,0.9998,0.968227,0.443713,0.308596,0.467335,0.580507,0.9971,0.9955,0.737537,0.530565,0.816253,0.685373,0.628058,0.9981
98,0.997652,0.975116,0.954018,0.9995,0.9978,0.941192,0.400806,0.296428,0.811292,0.660432,0.9962,0.950266,0.908074,0.681533,0.9898,0.883683,0.811192,0.9977
99,0.997752,0.973018,0.935315,0.9996,0.9985,0.643259,0.22901,0.220853,0.897994,0.457106,0.9964,0.946119,0.870415,0.490288,0.945719,0.895491,0.820823,0.9953
100,0.998352,0.990685,0.830866,1,0.9994,0.68134,0.290858,0.309286,0.759985,0.401459,0.9969,0.9814,0.658386,0.375006,0.681439,0.577249,0.557095,0.9961
101,0.998551,0.749916,0.818379,0.9999,0.9976,0.60387,0.362988,0.448347,0.598171,0.65728,0.9976,0.497304,0.634783,0.311851,0.839182,0.882706,0.655386,0.9963
102,0.997,0.959106,0.973214,1,0.9995,0.587392,0.362438,0.342877,0.557848,0.215719,0.997,0.917254,0.946052,0.342527,0.9932,0.754211,0.722538,0.9986
103,0,0,0,0,0,0.9905,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0.9901,0,0,0,0,0,0,0,0,0,0,0,0
