virt\core,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,0.000329409,3.6e-08,1.50885e-05,0.0991699,0.00080333,0.000550017,0.0100789,0.00545401,8.9546e-08,2.21028e-08,0.000329404,5.11112e-08,0.0201568,2.47641e-07,1.96678e-07,2.69784e-08
