virt\core,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
93,9.8447e-05,2.58873e-09,0.000149924,1e-09,0.000205873,0,0.000339462,0.000965733,0.00315286,0.000594812,5e-09,4.17809e-09,0.000767721,4.81763e-09,0.0062024,1.35165e-09,1.68552e-09,0
94,1.07141e-05,5.02639e-10,0.000368445,1e-09,4.03305e-05,0,0.000609433,0.000477849,0.0207699,0.000862555,2e-09,0,0.000843223,6e-09,0.00675347,2.53266e-09,2.46813e-09,2e-09
95,2e-09,2e-09,0.000523668,1e-09,2.4897e-05,0.00352771,0.00220444,0.00176394,0.0342365,0.00749785,2e-09,2e-09,0.00106148,2e-09,0.0251005,5.61709e-09,8.37555e-09,3e-09
