virt\core,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
93,0.551566,0.746899,0.729098,0.967738,0.583876,0,0.698363,0.435592,0.87018,0.398607,0.428837,0.411194,0.504126,0.792951,0.317046,0.867601,0.512048,0.876422
94,0.559593,0.720091,0.758048,0.967738,0.585783,0,0.699443,0.430698,0.871273,0.574306,0.43909,0.144233,0.563879,0.584937,0.528144,0.869653,0.563557,0.904431
95,0.477213,0.497197,0.753861,0.9999,0.9963,0.9807,0.83999,0.824332,0.9991,0.9721,0.477213,0.497197,0.50609,0.606076,0.794582,0.873718,0.491236,0.952078
