num-1,sym,lvl,92,93,94,95,96,97,98,99,100,101,102
0,atom,lvlMO,0.9,0.1,0.2,0.8,1.5,0.8,0.9,0,0.4,0.1,4.1
1,atom,lvlMO,1.7,1.1,0.3,1.1,2.1,1.1,1.6,0,1.4,0.5,2.5
2,atom,lvlMO,5.4,3.4,0.3,14.6,21.2,1.4,3.1,0.2,2.3,0.5,4.1
3,atom,lvlMO,0.7,0.5,0,2.5,3.6,0.9,2.7,0.1,2.9,1.7,3.1
4,atom,lvlMO,2.8,1.5,0,7.9,11.5,0.2,0.6,0.1,0.7,0.3,2
5,atom,lvlMO,1.1,0.9,0.1,1.7,1.6,1.8,1.4,0,0.6,1,0.9
6,atom,lvlMO,8.7,12.3,2.7,0.7,3.8,1.4,0.5,0.4,0.4,0.2,0.5
7,atom,lvlMO,2.5,12.8,14.1,0.4,0.4,0.2,0.3,0.1,0.2,0.4,1.4
8,atom,lvlMO,20.6,0.7,5.7,0.8,1.9,1.2,0.9,0.1,0.3,0.5,1.6
9,atom,lvlMO,3.5,12.1,14.6,0.1,0.1,0.2,0.1,0.1,0.1,0,0.6
10,atom,lvlMO,8.9,12.5,2.6,0.3,3.3,1.5,0.7,1.2,0.1,0.2,0.6
11,atom,lvlMO,19.2,0.7,6.1,0.8,2.8,0.9,0.4,0.3,0,0.1,1
12,atom,lvlMO,0.1,0.2,0.2,0.1,0.1,1.3,2.6,0,1.7,0,4.7
13,atom,lvlMO,1.9,0.4,0.1,1.7,0.6,4.3,3.4,0,0,1.4,0.4
14,atom,lvlMO,0.1,0.7,0.2,0.1,0,0.7,0.7,0,0,0.6,0.4
15,atom,lvlMO,0.1,0.6,0.6,0,0.3,0.3,0.6,0,0,0.7,2.4
16,atom,lvlMO,1,0,0.3,0.2,0,1.4,2.1,0,0.2,0.8,2
17,atom,lvlMO,0.1,0.5,0.6,0,0.1,0,0.2,0.1,0,0.2,0.3
18,atom,lvlMO,0.3,0.5,0.1,0,0.3,0.1,0.4,1.1,0,0.4,0.3
19,atom,lvlMO,0.8,0,0.2,0,0.4,0,0.1,0.3,0,0.3,0.6
20,atom,lvlMO,0.8,0,0.5,0.4,1.4,1.3,1.2,0,0.1,0.7,12.3
21,atom,lvlMO,1.1,0.2,0.1,0.7,2.4,3.3,4.2,0,2,0,8.8
22,atom,lvlMO,0.5,0.5,0.2,0.5,0.7,5,15.6,0.3,17.9,10.7,18.1
