virt\core,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
93,0.000148262,4.2475e-09,0.000167445,9.999e-10,0.00015389,0,0.000287343,0.000820856,0.00276379,0.000533095,5.9274e-09,4.2475e-09,0.000167444,4.7347e-09,0.00334511,2.35e-09,2.6831e-09,0
94,2.0348e-05,0,0.000604667,0,5.95711e-05,0,0.000561108,0.000468375,0.00512564,0.000789405,2.9637e-09,0,0.000604665,6.9202e-09,0.00325402,3.0644e-09,2.9066e-09,9.991e-10
95,1.9756e-09,1.9916e-09,0.000795875,1e-09,1.67659e-05,0.00330983,0.00225403,0.00168124,0.030486,0.00758899,1.9756e-09,1.9916e-09,0.000795871,1.9972e-09,0.022358,4.6157e-09,7.3136e-09,2.9979e-09
