virt\core,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,0,0,1.50595e-05,0.0988428,0.00120429,0.000783772,0.00776664,0.00272483,0,0,0,6.61489e-05,0.0249022,0,0,0
