virt\core,7,8,12,14,16,17,18,19,20
92,1,1,0,0,0,0,0,0,0
93,0.65335,0.9018,0.897748,0.0477,0.0342,0.65335,0.9018,0,0.32484
94,0.0925555,0.600606,0.892891,0.0266,0.0155,0.0925555,0.600606,0.0115,0.413139
95,0.0237,0.0914509,0,0,0,0.0237,0.0914509,0,0.0758
