virt\core,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
93,7.69004e-05,8.72763e-05,5.88584e-07,3.6e-07,0.000160882,0,0.000619927,0.000604181,0.000951387,0.00308034,1.89725e-06,0.000516542,8.5275e-07,0.00616822,2.10453e-06,3.69108e-06,4.13764e-07,1.36e-07
94,8.69481e-06,0.000226541,5.99956e-07,5.65e-07,5.62217e-05,0,0.000927311,0.000561467,0.00105274,0.0238712,2.18e-07,0.000503995,1.03199e-06,0.00742312,3.12143e-06,4.64603e-06,9.26364e-07,4.29e-07
95,6.72e-07,0.00061479,3.94833e-06,1.51e-07,1.6954e-05,0.00300719,0.00272621,0.0017744,0.00659101,0.0344513,6.72e-07,0.00061479,7.67754e-06,0.0291886,1.382e-06,2.86176e-06,1.59022e-06,1.73e-07
