virt\core,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
93,0.851833,0.852312,0.83824,0.9996,0.837588,0,0.64343,0.618846,0.483309,0.612439,0.793407,0.177756,0.677236,0.474814,0.971271,0.896817,0.780117,0.9973
94,0.925265,0.910646,0.914632,0.9997,0.840347,0,0.630187,0.378638,0.811697,0.10515,0.9399,0.7991,0.830181,0.378691,0.9883,0.874165,0.77827,0.9976
95,0.913281,0.9697,0.914213,1,0.9971,0.9843,0.45697,0.450037,0.638583,0.504873,0.913281,0.9697,0.828401,0.840605,0.991,0.864672,0.789975,0.9984
