virt\core,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
92,4,3,4,1,1,1,3,5,1,1,3,2,3,3,2,4,3,2
93,6,3,4,1,2,2,5,8,1,3,4,2,3,3,2,3,3,2
94,8,3,4,1,2,2,5,7,1,3,6,2,3,3,2,3,3,2
95,6,4,3,1,1,1,4,4,1,2,5,3,2,4,3,3,4,2
96,5,3,3,1,1,1,5,5,1,1,4,2,2,3,3,4,3,1
97,4,4,4,1,1,1,4,3,1,1,3,3,3,3,3,4,4,2
98,9,4,4,1,1,2,4,6,1,2,8,3,3,3,4,4,4,2
99,10,5,6,1,1,3,9,7,1,1,9,4,5,4,9,3,4,1
100,11,4,4,1,1,4,8,5,1,1,10,3,3,3,8,4,4,2
101,5,4,5,1,1,2,4,4,1,1,5,4,4,3,3,3,3,2
102,4,2,3,0,1,1,3,4,1,1,4,2,3,3,4,3,3,2
103,3,0,2,0,0,2,3,3,0,1,3,0,2,1,3,1,1,0
